,25-Sep-09,,,,,
,Date,Venue,Event,City,Day,Category
0,25-Sep-09,11th Frame Bar,Karaoke,Madison,Friday,Live Music
1,26-Sep-09,11th Frame Bar,Karaoke,Madison,Saturday,Karaoke
7,2-Oct-09,11th Frame Bar,Karaoke,Madison,Friday,Karaoke
8,3-Oct-09,11th Frame Bar,Karaoke,Madison,Saturday,Karaoke
14,9-Oct-09,11th Frame Bar,Karaoke,Madison,Friday,Karaoke
15,10-Oct-09,11th Frame Bar,Karaoke,Madison,Saturday,Karaoke
21,16-Oct-09,11th Frame Bar,Karaoke,Madison,Friday,Karaoke
22,17-Oct-09,11th Frame Bar,Karaoke,Madison,Saturday,Karaoke
5,30-Sep-09,3rd Base Grill/ S Pkwy,David Anderson 9 p.m.-1 a.m.,Huntsville,Wednesday,Live Music
6,1-Oct-09,3rd Base Grill/ S Pkwy,Donnie Cox,Huntsville,Thursday,Live Music
12,7-Oct-09,3rd Base Grill/ S Pkwy,David Anderson 9 p.m.-1 a.m.,Huntsville,Wednesday,Live Music
13,8-Oct-09,3rd Base Grill/ S Pkwy,Donnie Cox,Huntsville,Thursday,Live Music
19,14-Oct-09,"3rd Base Grill/ S Pkwy",David Anderson 9 p.m.-1 a.m.,Huntsville,Wednesday,Live Music
20,15-Oct-09,"3rd Base Grill/ S Pkwy",Donnie Cox,Huntsville,Thursday,Live Music
0,25-Sep-09,801 Franklin ,Ken Watters,Huntsville,Friday,Live Music
7,2-Oct-09,801 Franklin ,Live Music,Huntsville,Friday,Live Music
8,3-Oct-09,801 Franklin ,Live Music,Huntsville,Saturday,Live Music
14,9-Oct-09,801 Franklin ,Live Music,Huntsville,Friday,Live Music
15,10-Oct-09,801 Franklin ,Live Music,Huntsville,Saturday,Live Music
-1,24-Sep-09,"Bandito Burrito Southside",Dave Anderson,Huntsville,Thursday,Live Music
0,25-Sep-09,Bandito Burrito Southside,Shametown,Huntsville,Friday,Live Music
1,26-Sep-09,Bandito Burrito Southside,Dave Anderson,Huntsville,Saturday,Live Music
2,27-Sep-09,Bandito Burrito Southside,Neeve and Backporch Friends,Huntsville,Sunday,Live Music
4,29-Sep-09,Bandito Burrito Southside,Marge,Huntsville,Tuesday,Live Music
5,30-Sep-09,Bandito Burrito Southside,"Microwave Dave, solo (6-9)",Huntsville,Wednesday,Live Music
6,1-Oct-09,Bandito Burrito Southside,Dave Anderson,Huntsville,Thursday,Live Music
7,2-Oct-09,Bandito Burrito Southside,Lisa Busler,Huntsville,Friday,Live Music
