,9/4/09,,,,,,,,,
,Date,Venue,Event,City,Day,Category,,,,
0,"September 4, 2009",11th Frame Bar,Karaoke,Madison,Friday,Karaoke,,,,
7,"September 11, 2009",11th Frame Bar,Karaoke,Madison,Friday,Karaoke,,,,
14,"September 18, 2009",11th Frame Bar,Karaoke,Madison,Friday,Karaoke,,,,
21,"September 25, 2009",11th Frame Bar,Karaoke,Madison,Friday,Karaoke,,,,
0,"September 4, 2009",3rd Base Grill,Danny Cox,Huntsville,Thursday,,,,,
5,"September 9, 2009",3rd Base Grill,David Anderson 9 p.m.-1 a.m.,Huntsville,Wednesday,Live Music,,,,
6,"September 10, 2009",3rd Base Grill,Danny Cox,Huntsville,Thursday,,,,,
12,"September 16, 2009",3rd Base Grill,David Anderson 9 p.m.-1 a.m.,Huntsville,Wednesday,Live Music,,,,
13,"September 17, 2009",3rd Base Grill,Danny Cox,Huntsville,Thursday,,,,,
19,"September 23, 2009",3rd Base Grill,David Anderson 9 p.m.-1 a.m.,Huntsville,Wednesday,Live Music,,,,
20,"September 24, 2009",3rd Base Grill,Danny Cox,,,,,,,
0,"September 4, 2009",801 Franklin,Live Music,Huntsville,Friday,Live Music,,,,
1,"September 5, 2009",801 Franklin,Live Music,Huntsville,Saturday,Live Music,,,,
7,"September 11, 2009",801 Franklin,Live Music,Huntsville,Friday,Live Music,,,,
8,"September 12, 2009",801 Franklin,Live Music,Huntsville,Saturday,Live Music,,,,
14,"September 18, 2009",801 Franklin,Live Music,Huntsville,Friday,Live Music,,,,
15,"September 19, 2009",801 Franklin,Live Music,Huntsville,Saturday,Live Music,,,,
21,"September 25, 2009",801 Franklin,Live Music,Huntsville,Thursday,Live Music,,,,
22,"September 26, 2009",801 Franklin,Live Music,Huntsville,Friday,Live Music,,,,
-1,"September 3, 2009",Bandito Burrito (South Pkwy),Dave Anderson (6-9),Huntsville,Thursday,Live Music,,,,
0,"September 4, 2009",Bandito Burrito (South Pkwy),Lisa Busler,Huntsville,Friday,Live Music,,,,
1,"September 5, 2009",Bandito Burrito (South Pkwy),Dave Anderson,Huntsville,Saturday,Live Music,,,,
2,"September 6, 2009",Bandito Burrito (South Pkwy),Live Music,,,,,,,
3,"September 7, 2009",Bandito Burrito (South Pkwy),Live Music,Huntsville,Monday,Live Music,,,,
4,"September 8, 2009",Bandito Burrito (South Pkwy),Marge Loveday,Huntsville,Tuesday,Live Music,,,,
5,"September 9, 2009",Bandito Burrito (South Pkwy),"Microwave Dave, solo (6-9)",Huntsville,Wednesday,Karaoke,,,,
6,"September 10, 2009",Bandito Burrito (South Pkwy),Dave Anderson,Huntsville,Thursday,Live Music,,,,
7,"September 11, 2009",Bandito Burrito (South Pkwy),Silvestreak,Huntsville,Friday,Live Music,,,,
8,"September 12, 2009",Bandito Burrito (South Pkwy),Dave Anderson,Huntsville,Saturday,Live Music,,,,
9,"September 13, 2009",Bandito Burrito (South Pkwy),Live Music,,,,,,,
10,"September 14, 2009",Bandito Burrito (South Pkwy),Live Music,Huntsville,Monday,Live Music,,,,
11,"September 15, 2009",Bandito Burrito (South Pkwy),Marge (8-12),Huntsville,Tuesday,Live Music,,,,
12,"September 16, 2009",Bandito Burrito (South Pkwy),"Microwave Dave, solo (6-9)",Huntsville,Wednesday,Karaoke,,,,
13,"September 17, 2009",Bandito Burrito (South Pkwy),Dave Anderson (6-9),Huntsville,Thursday,Live Music,,,,
14,"September 18, 2009",Bandito Burrito (South Pkwy),Silverstreak,Huntsville,Friday,Live Music,,,,
15,"September 19, 2009",Bandito Burrito (South Pkwy),Dave Anderson,Huntsville,Saturday,Live Music,,,,
16,"September 20, 2009",Bandito Burrito (South Pkwy),Live Music,,,,,,,
17,"September 21, 2009",Bandito Burrito (South Pkwy),Live Music,Huntsville,Monday,Live Music,,,,
18,"September 22, 2009",Bandito Burrito (South Pkwy),Marge (8-12),Huntsville,Tuesday,Live Music,,,,
19,"September 23, 2009",Bandito Burrito (South Pkwy),"Microwave Dave, solo (6-9)",Huntsville,Wednesday,Karaoke,,,,
20,"September 24, 2009",Bandito Burrito (South Pkwy),Dave Anderson (6-9),Huntsville,Thursday,Live Music,,,,
21,"September 25, 2009",Bandito Burrito (South Pkwy),Shametown,Huntsville,Thursday,Live Music,,,,
22,"September 26, 2009",Bandito Burrito (South Pkwy),Dave Anderson,Huntsville,Friday,Live Music,,,,
-1,"September 3, 2009",Benchwarmer,Karaoke,Huntsville,Thursday,Karaoke,,,,
0,"September 4, 2009",Benchwarmer,Live Music,Huntsville,Friday,Live Music,,,,
1,"September 5, 2009",Benchwarmer,Live Music,Huntsville,Saturday,Live Music,,,,
6,"September 10, 2009",Benchwarmer,Karaoke,Huntsville,Thursday,Karaoke,,,,
7,"September 11, 2009",Benchwarmer,"Hollywood Disaster and The Dirty Swagger",,,,,,,
8,"September 12, 2009",Benchwarmer,Live Music,Huntsville,Saturday,Live Music,,,,
13,"September 17, 2009",Benchwarmer,Karaoke,Huntsville,Thursday,Karaoke,,,,
20,"September 24, 2009",Benchwarmer,Karaoke,Huntsville,Thursday,Karaoke,,,,
21,"September 25, 2009",Benchwarmer,Live Music,,,,,,,
22,"September 26, 2009",Benchwarmer,Live Music,,,,,,,
1,"September 5, 2009",Benchwarmer Too,DJ,Huntsville,Saturday,DJ,,,,
8,"September 12, 2009",Benchwarmer Too,DJ,Huntsville,Saturday,DJ,,,,
15,"September 19, 2009",Benchwarmer Too,DJ,Huntsville,Saturday,DJ,,,,
22,"September 26, 2009",Benchwarmer Too,DJ,Huntsville,Saturday,DJ,,,,
0,"September 4, 2009",Billy's Sports Bar (Hazel Green),Karaoke w/ Larry (9pm-close),Hazel Green,Friday,Karaoke,,,,
1,"September 5, 2009",Billy's Sports Bar (Hazel Green),Ladies Night and Male Review,Hazel Green,Saturday,Karaoke,,,,
5,"September 9, 2009",Billy's Sports Bar (Hazel Green),Top Tunes Karaoke w/ Brandon (8pm-12),Hazel Green,Wednesday,Karaoke,,,,
7,"September 11, 2009",Billy's Sports Bar (Hazel Green),Karaoke w/ Larry (9pm-close),Hazel Green,Friday,Karaoke,,,,
8,"September 12, 2009",Billy's Sports Bar (Hazel Green),Karaoke w/ Larry (9pm-close),Hazel Green,Saturday,Karaoke,,,,
12,"September 16, 2009",Billy's Sports Bar (Hazel Green),Top Tunes Karaoke w/ Brandon (8pm-12),Hazel Green,Wednesday,Karaoke,,,,
14,"September 18, 2009",Billy's Sports Bar (Hazel Green),Karaoke w/ Larry (9pm-close),Hazel Green,Friday,Karaoke,,,,
15,"September 19, 2009",Billy's Sports Bar (Hazel Green),Karaoke w/ Larry (9pm-close),Hazel Green,Saturday,Karaoke,,,,
19,"September 23, 2009",Billy's Sports Bar (Hazel Green),Top Tunes Karaoke w/ Brandon (8pm-12),Hazel Green,Wednesday,Karaoke,,,,
21,"September 25, 2009",Billy's Sports Bar (Hazel Green),Karaoke w/ Larry (9pm-close),Hazel Green,Friday,Karaoke,,,,
22,"September 26, 2009",Billy's Sports Bar (Hazel Green),Karaoke w/ Larry (9pm-close),Hazel Green,Saturday,Karaoke,,,,
-1,"September 3, 2009",Black Water Hattie's,Blues Night w/Shannon Slade Hubbard,,,,,,,
0,"September 4, 2009",Black Water Hattie's,CO Jones,Huntsville,Friday,Live Music,,,,
1,"September 5, 2009",Black Water Hattie's,Ricky Carden,Huntsville,Saturday,Live Music,,,,
2,"September 6, 2009",Black Water Hattie's,Four Door Ramblers,Huntsville,Sunday,Live Music,,,,
3,"September 7, 2009",Black Water Hattie's,Karaoke w/ Howie,Huntsville,Monday,Live Music,,,,
5,"September 9, 2009",Black Water Hattie's,Open Mic w/ Opie,Huntsville,Wednesday,Live Music,,,,
6,"September 10, 2009",Black Water Hattie's,Blues Night w/Shannon Slade Hubbard,,,,,,,
7,"September 11, 2009",Black Water Hattie's,Lance Alman Smith Band,Huntsville,Friday,Live Music,,,,
8,"September 12, 2009",Black Water Hattie's,Lance Laird,Huntsville,Saturday,Live Music,,,,
9,"September 13, 2009",Black Water Hattie's,Black Randall,Huntsville,Sunday,Live Music,,,,
10,"September 14, 2009",Black Water Hattie's,Karaoke w/ Howie,Huntsville,Monday,Live Music,,,,,,
12,"September 16, 2009",Black Water Hattie's,Open Mic w/ Opie,Huntsville,Wednesday,Live Music,,,,,,
13,"September 17, 2009",Black Water Hattie's,Blues Night w/Shannon Slade Hubbard,,,,,,,,,
14,"September 18, 2009",Black Water Hattie's,Bob Walters Banned,Huntsville,Friday,Live Music,,,,,,
15,"September 19, 2009",Black Water Hattie's,Cinder Graham,Huntsville,Saturday,Live Music,,,,,,
16,"September 20, 2009",Black Water Hattie's,"Microwave Dave, solo (6-9)",Huntsville,Sunday,Live Music,,,,,,
17,"September 21, 2009",Black Water Hattie's,Karaoke w/ Howie,Huntsville,Monday,Live Music,,,,,,
19,"September 23, 2009",Black Water Hattie's,Open Mic Night,Huntsville,Wednesday,Live Music,,,,,,
20,"September 24, 2009",Black Water Hattie's,Blues Night w/Shannon Slade Hubbard,,,,,,,,,
21,"September 25, 2009",Black Water Hattie's,Tin Penny,Huntsville,Friday,Live Music,,,,,,
22,"September 26, 2009",Black Water Hattie's,Shannon Slade,Huntsville,Saturday,Live Music,,,,,,
23,"September 27, 2009",Black Water Hattie's,Southstreet,Huntsville,Sunday,Live Music,,,,,,
-1,"September 3, 2009",Blue Parrot (Guntersville),Live Music,Guntersville,Thursday,Live Music,,,,,,
0,"September 4, 2009",Blue Parrot (Guntersville),Still House Hollow,Guntersville,Friday,Live Music,,,,,,
1,"September 5, 2009",Blue Parrot (Guntersville),Triple X,Guntersville,Saturday,Live Music,,,,,,
4,"September 8, 2009",Blue Parrot (Guntersville),Karaoke w/ Freddie,Guntersville,Tuesday,Live Music,,,,,,
5,"September 9, 2009",Blue Parrot (Guntersville),Bike Night with Mike and Cat,Guntersville,Wednesday,Live Music,,,,
6,"September 10, 2009",Blue Parrot (Guntersville),"Travis and Karlo",Guntersville,Thursday,Live Music,,,,
7,"September 11, 2009",Blue Parrot (Guntersville),Eric and the Idols,Guntersville,Friday,Live Music,,,,
8,"September 12, 2009",Blue Parrot (Guntersville),Jason Albert Band,Guntersville,Saturday,Live Music,,,,
11,"September 15, 2009",Blue Parrot (Guntersville),Karaoke w/ Freddie,Guntersville,Tuesday,Live Music,,,,
12,"September 16, 2009",Blue Parrot (Guntersville),Steve O,Guntersville,Wednesday,Live Music,,,,
13,"September 17, 2009",Blue Parrot (Guntersville),Live Music,Guntersville,Thursday,Live Music,,,,
14,"September 18, 2009",Blue Parrot (Guntersville),Alleyway,Guntersville,Friday,Live Music,,,,
15,"September 19, 2009",Blue Parrot (Guntersville),Radio Tremmors,Guntersville,Saturday,Live Music,,,,
18,"September 22, 2009",Blue Parrot (Guntersville),Karaoke w/ Freddie,Guntersville,Tuesday,Live Music,,,,
19,"September 23, 2009",Blue Parrot (Guntersville),Brad Cornelius,Guntersville,Wednesday,Live Music,,,,
20,"September 24, 2009",Blue Parrot (Guntersville),Live Music,Guntersville,Sunday,Live Music,,,,
21,"September 25, 2009",Blue Parrot (Guntersville),Scratch Band,Guntersville,Monday,Live Music,,,,
22,"September 26, 2009",Blue Parrot (Guntersville),Billy Ryan,Guntersville,Tuesday,Live Music,,,,
-1,"September 3, 2009",Boondock's (Guntersville),Duane Walker,Guntersville,Thursday,Karaoke,,,,
0,"September 4, 2009",Boondock's (Guntersville),Jeremy Lesley,Guntersville,Friday,Live Music,,,,
1,"September 5, 2009",Boondock's (Guntersville),Allied,Guntersville,Saturday,Live Music,,,,
3,"September 7, 2009",Boondock's (Guntersville),Karaoke,Guntersville,Monday,Karaoke,,,,
4,"September 8, 2009",Boondock's (Guntersville),Karaoke,Guntersville,Tuesday,Karaoke,,,,
5,"September 9, 2009",Boondock's (Guntersville),Karaoke,Guntersville,Wednesday,Karaoke,,,,
6,"September 10, 2009",Boondock's (Guntersville),Ricky Carden,Guntersville,Thursday,Karaoke,,,,
7,"September 11, 2009",Boondock's (Guntersville),Sons of Sanchez,Guntersville,Friday,Live Music,,,,
8,"September 12, 2009",Boondock's (Guntersville),5ive O'Clock Charlie,Guntersville,Saturday,Live Music,,,,
10,"September 14, 2009",Boondock's (Guntersville),Karaoke,Guntersville,Monday,Karaoke,,,,
11,"September 15, 2009",Boondock's (Guntersville),Karaoke,Guntersville,Tuesday,Karaoke,,,,
12,"September 16, 2009",Boondock's (Guntersville),Karaoke,Guntersville,Wednesday,Karaoke,,,,
13,"September 17, 2009",Boondock's (Guntersville),Live Music,Guntersville,Thursday,Karaoke,,,,
14,"September 18, 2009",Boondock's (Guntersville),Flat Busted Band,Guntersville,Friday,Live Music,,,,
15,"September 19, 2009",Boondock's (Guntersville),Flat Busted Band,Guntersville,Saturday,Live Music,,,,
17,"September 21, 2009",Boondock's (Guntersville),Karaoke,Guntersville,Monday,Karaoke,,,,
18,"September 22, 2009",Boondock's (Guntersville),Karaoke,Guntersville,Tuesday,Karaoke,,,,
19,"September 23, 2009",Boondock's (Guntersville),Karaoke,Guntersville,Wednesday,Karaoke,,,,
20,"September 24, 2009",Boondock's (Guntersville),Sons of Sanchez,Guntersville,Thursday,Karaoke,,,,
21,"September 25, 2009",Boondock's (Guntersville),Ryan and Reno,Guntersville,Friday,Live Music,,,,
22,"September 26, 2009",Boondock's (Guntersville),Mixed Tape,Guntersville,Saturday,Live Music,,,,
5,"September 9, 2009",Bridge Street,Accostics on the Patio,Huntsville,Wednesday,Live Music,,,,
12,"September 16, 2009",Bridge Street,Accostics on the Patio,Huntsville,Wednesday,Live Music,,,,
19,"September 23, 2009",Bridge Street,Accostics on the Patio,Huntsville,Wednesday,Live Music,,,,
0,"September 4, 2009",Casa Montego,Reggae & More with DJ Roger,Huntsville,Friday,DJ,,,,
2,"September 6, 2009",Casa Montego,Live Jazz featuring Devere Pride Trio and Friends (7-10:30),Huntsville,Sunday,Live Music,,,,
7,"September 11, 2009",Casa Montego,Reggae & More with DJ Roger,Huntsville,Friday,DJ,,,,
9,"September 13, 2009",Casa Montego,Live Jazz featuring Devere Pride Trio and Friends (7-10:30),Huntsville,Sunday,Live Music,,,,
14,"September 18, 2009",Casa Montego,Reggae & More with DJ Roger,Huntsville,Friday,DJ,,,,
16,"September 20, 2009",Casa Montego,Live Jazz featuring Devere Pride Trio and Friends (7-10:30),Huntsville,Sunday,Live Music,,,,
21,"September 25, 2009",Casa Montego,Reggae & More with DJ Roger,Huntsville,Friday,DJ,,,,
23,"September 27, 2009",Casa Montego,Live Jazz featuring Devere Pride Trio and Friends (7-10:30),Huntsville,Sunday,Live Music,,,,
1,"September 5, 2009",Cazadeores,Live Music,Owens Crossroads,Saturday,Live Music,,,,
5,"September 9, 2009",Cazadeores,Open Mic Hosted by Scott Morgan,Owens Crossroads,Wednesday,Live Music,,,,
8,"September 12, 2009",Cazadeores,Live Music,Owens Crossroads,Saturday,Live Music,,,,
12,"September 16, 2009",Cazadeores,Open Mic Hosted by Scott Morgan,Owens Crossroads,Wednesday,Live Music,,,,
15,"September 19, 2009",Cazadeores,Live Music,Owens Crossroads,Saturday,Live Music,,,,
19,"September 23, 2009",Cazadeores,Open Mic Hosted by Scott Morgan,Owens Crossroads,Wednesday,Live Music,,,,
22,"September 26, 2009",Cazadeores,Live Music,Owens Crossroads,Saturday,Live Music,,,,
-1,"September 3, 2009",Club Ozz,Talent Night w/ DJ Brandon Mac,Huntsville,Thursday,Karaoke,,,,
0,"September 4, 2009",Club Ozz,Divas of Illusion w/DJ Kaos,Huntsville,Friday,Karaoke,,,,
1,"September 5, 2009",Club Ozz,Spikey Dikey and The After Midnights,Huntsville,Saturday,Karaoke,,,,
6,"September 10, 2009",Club Ozz,Karaoke w/ Brandon,Huntsville,Thursday,Karaoke,,,,
7,"September 11, 2009",Club Ozz,Divas of Illusion w/DJ Kaos,Huntsville,Friday,Karaoke,,,,
8,"September 12, 2009",Club Ozz,Divas of Illusion w/DJ Kaos,Huntsville,Saturday,Karaoke,,,,
13,"September 17, 2009",Club Ozz,Talent Night w/ DJ Brandon Mac,Huntsville,Thursday,Karaoke,,,,
14,"September 18, 2009",Club Ozz,Divas of Illusion w/DJ Kaos,Huntsville,Friday,Karaoke,,,,
15,"September 19, 2009",Club Ozz,Divas of Illusion w/DJ Kaos,Huntsville,Saturday,Karaoke,,,,
20,"September 24, 2009",Club Ozz,Talent Night w/ DJ Brandon Mac,Huntsville,Thursday,Karaoke,,,,
21,"September 25, 2009",Club Ozz,Divas of Illusion w/DJ Kaos,Huntsville,Friday,Karaoke,,,,
22,"September 26, 2009",Club Ozz,Divas of Illusion w/DJ Kaos,Huntsville,Saturday,Karaoke,,,,
0,"September 4, 2009",Coffeetree Books & Brew (See ad pg. ),Brandon Watson,Huntsville,Friday,Live Music,,,,
1,"September 5, 2009",Coffeetree Books & Brew (See ad pg. ),Open Mic Night (7pm),Huntsville,Saturday,Live Music,,,,
